,College_Name,State,Public_or_Private,Apps_received,Apps_accepted,New_students,Percent_from_top_10,Percent_from_top_25,FT_undergrads,PT_undergrads,in-state_tuition,out-of-state_tuition,room,board,fees,book_costs,personal_costs,PhD_Faculty,faculty_student_ratio,Graduation_rate
162,Mount Vernon College,DC,2,149.0,70.0,61.0,15.0,35.0,203.0,138.0,13780.0,13780.0,3107.0,3808.0,500.0,500.0,500.0,84.0,5.7,
163,Trinity College,DC,2,247.0,189.0,100.0,19.0,49.0,309.0,639.0,11412.0,11412.0,2900.0,3530.0,150.0,500.0,900.0,89.0,8.3,96.0
164,Univ. of the District of Columbia,DC,1,3895.0,3866.0,1717.0,,,3658.0,6327.0,974.0,3566.0,,,115.0,1550.0,,51.0,11.7,
165,Delaware State College,DE,1,2611.0,1845.0,764.0,,,,,4878.0,4878.0,2210.0,1600.0,110.0,,,60.0,13.7,26.0
166,Goldey Beacom College,DE,2,633.0,468.0,284.0,10.0,27.0,823.0,963.0,6120.0,6120.0,,2985.0,,531.0,1830.0,25.0,27.6,36.0
167,University of Delaware,DE,2,14446.0,10516.0,3252.0,22.0,57.0,14130.0,4522.0,3690.0,10220.0,2280.0,1950.0,410.0,530.0,1300.0,82.0,18.3,75.0
168,Wesley College,DE,2,980.0,807.0,350.0,10.0,25.0,872.0,448.0,9890.0,9890.0,2450.0,2224.0,405.0,500.0,1350.0,52.0,14.4,84.0
169,Wilmington College,DE,2,1275.0,1275.0,635.0,,,615.0,1047.0,5340.0,5340.0,,,50.0,400.0,2000.0,46.0,12.5,56.0
170,Barry University,FL,2,990.0,784.0,279.0,18.0,45.0,1811.0,3144.0,11290.0,11290.0,5360.0,,240.0,600.0,1800.0,76.0,12.6,72.0
171,Bethune Cookman College,FL,2,1646.0,1150.0,542.0,12.0,30.0,2128.0,82.0,5188.0,5188.0,1541.0,1855.0,427.0,650.0,2500.0,48.0,13.8,58.0
172,St. Thomas University,FL,2,492.0,370.0,236.0,10.0,30.0,1125.0,482.0,9600.0,9600.0,,,380.0,600.0,1890.0,,23.2,33.0
173,Florida Institute of Technology,FL,2,1947.0,1580.0,523.0,39.0,74.0,1863.0,233.0,13900.0,13900.0,1740.0,2400.0,400.0,750.0,1500.0,90.0,10.6,57.0
174,Clearwater Christian College,FL,2,161.0,156.0,101.0,,,409.0,43.0,5200.0,5200.0,3400.0,,500.0,500.0,400.0,55.0,15.1,
175,Embry Riddle Aeronautical University,FL,2,3151.0,2584.0,958.0,14.0,40.0,4772.0,856.0,7800.0,7800.0,2050.0,1700.0,80.0,570.0,3020.0,37.0,16.5,44.0
176,Florida A&M University,FL,1,4880.0,2899.0,1463.0,,40.0,7931.0,1357.0,1749.0,6651.0,1076.0,1592.0,80.0,600.0,,87.0,11.8,
177,Florida Atlantic University,FL,1,3181.0,2089.0,826.0,,,6035.0,6414.0,1800.0,6700.0,1940.0,2120.0,,600.0,2270.0,90.0,15.6,48.0
178,Florida Memorial College,FL,2,2400.0,1800.0,557.0,,,1312.0,176.0,4160.0,4160.0,1680.0,1510.0,780.0,500.0,1000.0,38.0,17.1,35.0
179,Eckerd College,FL,2,1422.0,1109.0,366.0,33.0,65.0,1363.0,23.0,15360.0,15360.0,,,250.0,600.0,1000.0,82.0,12.8,59.0
180,Florida Southern College,FL,2,1381.0,1040.0,374.0,20.0,44.0,1506.0,970.0,8025.0,8025.0,2100.0,2765.0,605.0,400.0,650.0,65.0,17.4,68.0
181,Florida State University,FL,1,11651.0,8683.0,3023.0,50.0,90.0,18906.0,3242.0,1780.0,6680.0,1910.0,2150.0,,600.0,1020.0,80.0,23.1,58.0
182,Jacksonville University,FL,2,1344.0,1008.0,305.0,16.0,34.0,1556.0,517.0,9600.0,9600.0,2020.0,2360.0,480.0,700.0,1400.0,61.0,12.1,
183,Lynn University,FL,2,1292.0,956.0,315.0,,,1250.0,200.0,13900.0,13900.0,2450.0,3150.0,300.0,400.0,1100.0,69.0,19.0,65.0
184,Nova Southeastern University,FL,2,1025.0,770.0,257.0,,,1893.0,1220.0,8550.0,8550.0,2880.0,1860.0,250.0,720.0,4029.0,90.0,20.4,23.0
185,Rollins College,FL,2,1777.0,1151.0,382.0,31.0,55.0,1668.0,1052.0,16425.0,16425.0,2830.0,2390.0,470.0,955.0,750.0,81.0,13.3,90.0
186,St. Leo College,FL,2,990.0,683.0,201.0,,,3400.0,3731.0,9150.0,9150.0,2340.0,2310.0,826.0,525.0,800.0,47.0,72.4,
187,Stetson University,FL,2,1557.0,1227.0,489.0,37.0,69.0,1964.0,81.0,12315.0,12315.0,2165.0,2400.0,555.0,600.0,1365.0,85.0,12.5,73.0
188,University of Florida,FL,1,12445.0,8836.0,3623.0,54.0,85.0,24470.0,3286.0,1820.0,7090.0,1960.0,2220.0,,630.0,1530.0,88.0,13.4,66.0
189,University of Miami,FL,2,7122.0,5386.0,1643.0,42.0,69.0,7760.0,876.0,16500.0,16500.0,3810.0,2716.0,180.0,630.0,1985.0,82.0,5.9,59.0
190,University of South Florida,FL,1,7589.0,4676.0,1876.0,29.0,63.0,14770.0,10962.0,1856.0,6760.0,1806.0,1970.0,,500.0,2180.0,84.0,17.0,47.0
191,University of Tampa,FL,2,1675.0,1190.0,325.0,,,1812.0,374.0,11690.0,11690.0,2016.0,2548.0,640.0,700.0,1000.0,,13.9,
192,Webber College,FL,2,280.0,143.0,79.0,5.0,27.0,327.0,110.0,5590.0,5590.0,1930.0,970.0,,650.0,1952.0,53.0,15.1,90.0
193,University of Central Florida,FL,1,6986.0,2959.0,1918.0,25.0,60.0,12330.0,7152.0,1716.0,6618.0,2410.0,1824.0,95.0,700.0,1600.0,80.0,22.2,46.0
194,University of West Florida,FL,1,1558.0,1254.0,472.0,20.0,57.0,3754.0,2477.0,1597.0,6172.0,,,,541.0,1387.0,83.0,23.4,53.0
195,Flagler College,FL,2,1415.0,714.0,338.0,18.0,52.0,1345.0,44.0,5120.0,5120.0,1260.0,1940.0,,500.0,2140.0,52.0,18.1,69.0
196,Warner Southern College,FL,2,400.0,280.0,134.0,,,397.0,62.0,6200.0,6200.0,1500.0,1770.0,380.0,320.0,,53.0,14.4,42.0
197,Palm Beach Atlantic College,FL,2,729.0,625.0,349.0,,,1432.0,334.0,7900.0,7900.0,3400.0,,,500.0,500.0,,19.0,38.0
198,Florida International University,FL,1,3306.0,2079.0,1071.0,42.0,89.0,10208.0,9310.0,1695.0,6597.0,2494.0,,80.0,800.0,3028.0,81.0,13.9,66.0
199,University of North Florida,FL,1,1800.0,1253.0,560.0,44.0,85.0,3876.0,3588.0,1732.0,6634.0,,,,600.0,2604.0,82.0,17.8,47.0
200,Agnes Scott College,GA,2,417.0,349.0,137.0,60.0,89.0,510.0,63.0,12960.0,12960.0,5450.0,,135.0,450.0,875.0,92.0,7.7,59.0
201,Albany State College,GA,1,1461.0,1097.0,580.0,10.0,22.0,2035.0,321.0,1772.0,4535.0,2754.0,,390.0,675.0,763.0,65.0,17.0,62.0
202,Armstrong State College,GA,1,2186.0,1835.0,1263.0,,,2796.0,2391.0,2028.0,5604.0,,,,450.0,950.0,45.0,10.5,88.0
203,Clark Atlanta University,GA,2,4502.0,2497.0,790.0,,,2844.0,88.0,7908.0,7908.0,2168.0,2070.0,200.0,600.0,1500.0,63.0,14.9,53.0
204,Augusta College,GA,1,1452.0,1158.0,870.0,,,2902.0,1825.0,1422.0,4266.0,,,210.0,495.0,1950.0,65.0,18.9,38.0
205,Berry College,GA,2,1858.0,1221.0,480.0,37.0,68.0,1620.0,49.0,8050.0,8050.0,1960.0,1980.0,,350.0,2375.0,80.0,16.3,63.0
206,Brenau University,GA,2,367.0,274.0,158.0,12.0,41.0,917.0,479.0,9592.0,9592.0,,,,500.0,700.0,71.0,13.7,49.0
207,Brewton-Parker College,GA,2,1436.0,1228.0,1202.0,10.0,26.0,1320.0,822.0,4371.0,4371.0,1320.0,1050.0,130.0,500.0,2000.0,62.0,12.6,18.0
208,Columbus College,GA,1,1348.0,1050.0,774.0,,,2873.0,1736.0,1381.0,2763.0,3375.0,,219.0,800.0,300.0,61.0,16.5,32.0
209,Emory University,GA,2,8506.0,4168.0,1236.0,76.0,97.0,5544.0,192.0,17600.0,17600.0,3600.0,2400.0,230.0,600.0,870.0,97.0,5.0,96.0
210,Fort Valley State College,GA,1,2092.0,1474.0,649.0,,,1903.0,221.0,1341.0,2682.0,1290.0,1080.0,385.0,,,59.0,13.9,39.0
211,Georgia Institute of Technology,GA,1,7837.0,4527.0,2276.0,89.0,99.0,8528.0,654.0,1899.0,6489.0,4438.0,,444.0,795.0,1164.0,92.0,19.3,70.0
212,Southern College of Technology,GA,1,652.0,503.0,297.0,,,2229.0,1283.0,1341.0,4023.0,2004.0,1215.0,207.0,465.0,1600.0,52.0,17.3,36.0
213,Georgia Southern University,GA,1,8388.0,5423.0,3034.0,,,11404.0,1007.0,1808.0,4571.0,2987.0,,,450.0,,60.0,19.7,46.0
214,Georgia Southwestern College,GA,1,860.0,716.0,330.0,,,1703.0,473.0,1578.0,4158.0,1395.0,1020.0,,,,50.0,18.1,26.0
215,Georgia State University,GA,1,3793.0,2341.0,1238.0,9.0,24.0,7732.0,9054.0,2154.0,6744.0,2655.0,,246.0,720.0,3450.0,87.0,19.0,34.0
216,Kennesaw State College,GA,1,2402.0,1824.0,1161.0,,,5438.0,5556.0,1422.0,2844.0,,,183.0,450.0,1835.0,62.0,19.8,21.0
217,LaGrange College,GA,2,544.0,399.0,177.0,15.0,35.0,600.0,363.0,6987.0,6987.0,,,285.0,750.0,1500.0,77.0,12.5,75.0
218,Mercer University,GA,2,2286.0,1668.0,564.0,37.0,70.0,2943.0,1260.0,11985.0,11985.0,2160.0,1921.0,,400.0,1500.0,93.0,9.2,91.0
219,Morehouse College,GA,2,3708.0,1678.0,722.0,41.0,66.0,2852.0,153.0,7050.0,7050.0,3140.0,2350.0,1420.0,250.0,600.0,71.0,17.8,83.0
220,Morris Brown College,GA,2,6407.0,1500.0,595.0,,,1752.0,125.0,6770.0,6770.0,4438.0,,966.0,600.0,650.0,49.0,15.7,21.0
221,North Georgia College,GA,1,1612.0,1077.0,775.0,,45.0,2023.0,316.0,1382.0,4145.0,2445.0,,294.0,180.0,,60.0,17.5,53.0
222,Oglethorpe University,GA,2,792.0,649.0,186.0,56.0,87.0,769.0,377.0,12900.0,12900.0,4340.0,,60.0,600.0,4110.0,91.0,13.1,67.0
223,Paine College,GA,2,1322.0,636.0,225.0,,,589.0,97.0,5460.0,5460.0,1704.0,1110.0,300.0,500.0,1505.0,48.0,10.9,27.0
224,Piedmont College,GA,2,663.0,562.0,127.0,20.0,40.0,641.0,63.0,5640.0,5640.0,1670.0,1680.0,,600.0,750.0,89.0,13.2,31.0
225,Savannah State College,GA,1,1702.0,1448.0,726.0,12.0,39.0,2726.0,472.0,1800.0,3200.0,2145.0,,,,,60.0,19.0,48.0
226,Shorter College,GA,2,540.0,445.0,165.0,23.0,70.0,1115.0,111.0,7210.0,7210.0,,,110.0,500.0,2000.0,62.0,13.2,58.0
227,Spelman College,GA,2,3713.0,1237.0,443.0,47.0,83.0,1971.0,107.0,7000.0,7000.0,2565.0,3000.0,1222.0,660.0,2400.0,73.0,12.5,65.0
228,Toccoa Falls College,GA,2,,,182.0,18.0,36.0,781.0,82.0,6072.0,6072.0,,,,400.0,3036.0,48.0,16.8,54.0
229,University of Georgia,GA,1,11220.0,7871.0,3320.0,43.0,79.0,19553.0,2748.0,1899.0,5697.0,1770.0,1830.0,453.0,525.0,1755.0,88.0,14.7,63.0
230,Valdosta State University,GA,1,3674.0,3247.0,1586.0,,,5982.0,1418.0,1770.0,4617.0,1650.0,1290.0,,600.0,1200.0,67.0,20.0,45.0
231,Wesleyan College,GA,2,305.0,287.0,109.0,38.0,,382.0,46.0,11500.0,11500.0,,,460.0,515.0,1374.0,68.0,7.6,52.0
232,West Georgia College,GA,1,3668.0,2604.0,1331.0,,,4538.0,1179.0,1806.0,4650.0,1425.0,1548.0,378.0,490.0,1200.0,59.0,19.2,40.0
233,Georgia College,GA,1,1868.0,1788.0,829.0,,,3467.0,1167.0,1694.0,4457.0,1434.0,1305.0,312.0,450.0,500.0,70.0,21.4,52.0
234,Covenant College,GA,2,407.0,317.0,181.0,21.0,48.0,468.0,31.0,9700.0,9700.0,1980.0,1764.0,150.0,470.0,1120.0,73.0,19.0,56.0
235,Savannah Coll. of Art and Design,GA,2,1109.0,688.0,386.0,20.0,65.0,1897.0,208.0,8325.0,8325.0,3050.0,1950.0,450.0,1200.0,1600.0,14.0,16.1,55.0
236,Chaminade University of Honolulu,HI,2,621.0,546.0,103.0,,,766.0,1154.0,10600.0,10600.0,2720.0,2770.0,,700.0,800.0,63.0,14.1,
237,Brigham Young University - Hawaii,HI,2,1038.0,533.0,428.0,21.0,42.0,2008.0,23.0,1780.0,1780.0,,3360.0,,,,64.0,16.8,
238,University of Hawaii at Manoa,HI,1,3580.0,2603.0,1627.0,36.0,69.0,11028.0,2411.0,1460.0,4460.0,1808.0,1230.0,97.0,687.0,1281.0,85.0,11.8,54.0
239,Hawaii Pacific University,HI,2,1827.0,1409.0,1169.0,,,4312.0,2302.0,6300.0,6300.0,,,200.0,500.0,,59.0,23.3,
240,University of Hawaii at Hilo,HI,1,1499.0,779.0,500.0,20.0,54.0,2082.0,871.0,480.0,2920.0,,,50.0,714.0,1277.0,72.0,15.8,31.0
241,Briar Cliff College,IA,2,392.0,351.0,155.0,16.0,44.0,738.0,430.0,10260.0,10260.0,3597.0,,150.0,600.0,1500.0,39.0,13.1,58.0
242,Buena Vista College,IA,2,860.0,688.0,285.0,32.0,70.0,1928.0,442.0,13306.0,13306.0,1997.0,1800.0,,450.0,950.0,62.0,8.8,78.0
243,Central College,IA,2,1283.0,1113.0,401.0,31.0,65.0,1355.0,40.0,10938.0,10938.0,1638.0,2022.0,141.0,650.0,600.0,76.0,13.5,67.0
244,Clarke College,IA,2,460.0,340.0,167.0,14.0,45.0,604.0,350.0,10740.0,10740.0,1838.0,1838.0,225.0,350.0,900.0,67.0,11.0,74.0
245,Coe College,IA,2,1006.0,742.0,275.0,29.0,60.0,1127.0,205.0,13925.0,13925.0,2400.0,1990.0,125.0,500.0,2200.0,73.0,12.7,67.0
246,Cornell College,IA,2,1538.0,1329.0,383.0,33.0,68.0,1140.0,10.0,15248.0,15248.0,1978.0,2345.0,125.0,550.0,800.0,71.0,12.2,64.0
247,Dordt College,IA,2,604.0,562.0,328.0,25.0,50.0,1048.0,56.0,9800.0,9800.0,1200.0,1450.0,60.0,450.0,2800.0,61.0,12.5,87.0
248,Drake University,IA,2,2799.0,2573.0,839.0,34.0,65.0,3322.0,726.0,13420.0,13420.0,2148.0,2422.0,,560.0,1675.0,88.0,15.0,77.0
249,Graceland College,IA,2,555.0,414.0,242.0,14.0,41.0,996.0,2281.0,9100.0,9100.0,1130.0,1970.0,100.0,550.0,880.0,51.0,23.6,47.0
250,Grand View College,IA,2,535.0,511.0,233.0,11.0,36.0,1098.0,380.0,9820.0,9820.0,2000.0,1360.0,50.0,570.0,2800.0,32.0,12.6,32.0
251,Grinnell College,IA,2,2039.0,1389.0,432.0,56.0,91.0,1333.0,30.0,15688.0,15688.0,2120.0,2498.0,374.0,400.0,400.0,88.0,9.5,83.0
252,Iowa State University,IA,1,8427.0,7424.0,3441.0,26.0,59.0,18676.0,1715.0,2291.0,7550.0,3224.0,,162.0,640.0,2055.0,81.0,19.2,65.0
253,Iowa Wesleyan College,IA,2,443.0,291.0,127.0,11.0,44.0,563.0,427.0,9850.0,9850.0,1900.0,1500.0,,500.0,,45.0,17.2,
254,Loras College,IA,2,1641.0,1283.0,527.0,20.0,39.0,1663.0,170.0,11200.0,11200.0,,,,500.0,1200.0,61.0,14.2,70.0
255,Luther College,IA,2,1549.0,1392.0,587.0,38.0,72.0,2269.0,85.0,13240.0,13240.0,1850.0,1710.0,,600.0,400.0,73.0,13.8,77.0
256,Teikyo Marycrest University,IA,2,328.0,243.0,93.0,,,663.0,340.0,9980.0,9980.0,1500.0,2140.0,210.0,500.0,2980.0,44.0,12.3,69.0
257,Morningside College,IA,2,586.0,533.0,239.0,16.0,36.0,950.0,228.0,10520.0,10520.0,1812.0,1866.0,181.0,500.0,1000.0,48.0,13.0,56.0
258,Mount Mercy College,IA,2,368.0,317.0,159.0,20.0,49.0,806.0,542.0,10500.0,10500.0,2115.0,1440.0,100.0,500.0,2285.0,44.0,11.3,64.0
259,Mount Saint Clare College,IA,2,325.0,284.0,95.0,16.0,33.0,364.0,88.0,9900.0,9900.0,1660.0,1990.0,80.0,500.0,1200.0,32.0,13.6,21.0
260,Northwestern College,IA,2,860.0,811.0,366.0,22.0,56.0,1040.0,52.0,9900.0,9900.0,1750.0,1325.0,,300.0,1800.0,68.0,14.9,68.0
261,Simpson College,IA,2,1016.0,872.0,300.0,27.0,57.0,1116.0,602.0,11250.0,11250.0,2130.0,2850.0,155.0,550.0,1400.0,66.0,15.8,70.0
262,Saint Ambrose University,IA,2,897.0,718.0,276.0,12.0,48.0,1345.0,390.0,10450.0,10450.0,2310.0,1710.0,10.0,500.0,1500.0,56.0,14.1,70.0
263,University of Northern Iowa,IA,1,4144.0,3379.0,1853.0,18.0,52.0,10135.0,1448.0,2291.0,6197.0,1318.0,1612.0,164.0,595.0,2380.0,78.0,16.3,77.0
264,University of Dubuque,IA,2,576.0,558.0,137.0,11.0,39.0,662.0,131.0,10430.0,10430.0,1845.0,1775.0,100.0,400.0,1500.0,85.0,16.5,45.0
265,University of Iowa,IA,1,9224.0,8025.0,3262.0,23.0,52.0,15412.0,2878.0,2291.0,8149.0,,,164.0,640.0,2426.0,,13.1,62.0
266,Upper Iowa University,IA,2,663.0,452.0,192.0,10.0,35.0,1481.0,1160.0,8840.0,8840.0,3060.0,,,500.0,1000.0,69.0,17.4,78.0
267,Wartburg College,IA,2,1231.0,1074.0,345.0,34.0,66.0,1295.0,105.0,11600.0,11600.0,1940.0,1670.0,120.0,400.0,850.0,66.0,12.4,67.0
268,Teikyo Westmar University,IA,2,451.0,306.0,123.0,10.0,18.0,611.0,146.0,9980.0,9980.0,2010.0,1630.0,280.0,600.0,2240.0,46.0,12.0,51.0
269,William Penn College,IA,2,326.0,294.0,140.0,10.0,33.0,630.0,107.0,10000.0,10000.0,1800.0,1310.0,290.0,495.0,800.0,35.0,13.3,40.0
270,Boise State University,ID,1,3619.0,3080.0,1888.0,,,7948.0,5040.0,,2093.0,3370.0,,938.0,600.0,2632.0,59.0,17.0,25.0
271,Albertson College,ID,2,587.0,479.0,158.0,38.0,62.0,678.0,41.0,13500.0,13500.0,1025.0,2210.0,322.0,500.0,675.0,67.0,9.4,55.0
272,Idaho State University,ID,1,1989.0,1627.0,1137.0,,40.0,6547.0,2464.0,,4500.0,,,1500.0,500.0,1575.0,67.0,16.5,33.0
273,Lewis-Clark State College,ID,1,1001.0,551.0,428.0,,,1970.0,1256.0,1412.0,5120.0,,,,908.0,1721.0,60.0,12.1,44.0
274,Northwest Nazarene College,ID,2,616.0,514.0,385.0,29.0,52.0,1115.0,60.0,9840.0,9840.0,1680.0,1140.0,339.0,450.0,822.0,59.0,14.8,58.0
275,University of Idaho,ID,1,3133.0,2799.0,1337.0,24.0,49.0,7242.0,1431.0,1548.0,5962.0,,,,832.0,,82.0,13.5,45.0
276,Augustana College,IL,2,1879.0,1658.0,497.0,36.0,69.0,1950.0,38.0,13353.0,13353.0,1622.0,1622.0,93.0,540.0,821.0,78.0,12.7,71.0
277,Aurora University,IL,2,532.0,481.0,127.0,,,815.0,801.0,10250.0,10250.0,,,70.0,550.0,,,9.1,56.0
278,Barat College,IL,2,261.0,192.0,111.0,15.0,36.0,453.0,266.0,9690.0,9690.0,4300.0,,140.0,500.0,500.0,57.0,9.7,71.0
279,Blackburn College,IL,2,500.0,336.0,156.0,25.0,55.0,421.0,27.0,6500.0,6500.0,,,,500.0,1000.0,76.0,14.3,51.0
280,Bradley University,IL,2,3767.0,3414.0,1061.0,30.0,58.0,4531.0,643.0,10870.0,10870.0,2540.0,,80.0,2000.0,1522.0,75.0,14.4,85.0
281,College of Saint Francis,IL,2,422.0,305.0,160.0,30.0,56.0,781.0,240.0,9810.0,9810.0,4160.0,,180.0,400.0,,52.0,17.5,80.0
282,Columbia College,IL,2,2419.0,2160.0,1117.0,,,4852.0,1991.0,7310.0,7310.0,,4350.0,80.0,500.0,1612.0,18.0,13.4,41.0
283,Concordia University,IL,2,528.0,403.0,186.0,22.0,56.0,1168.0,145.0,9216.0,9216.0,4191.0,,80.0,400.0,1000.0,56.0,12.1,75.0
284,DePaul University,IL,2,4815.0,3551.0,1227.0,30.0,58.0,6069.0,3719.0,11214.0,11214.0,1479.0,3453.0,30.0,600.0,,69.0,16.1,63.0
285,Eastern Illinois University,IL,1,5597.0,4253.0,1565.0,12.0,38.0,9161.0,845.0,1902.0,5710.0,,,782.0,120.0,1730.0,62.0,16.2,76.0
286,Eureka College,IL,2,560.0,454.0,113.0,36.0,56.0,484.0,16.0,10955.0,10955.0,1915.0,1535.0,150.0,330.0,670.0,62.0,10.6,53.0
287,Greenville College,IL,2,510.0,387.0,194.0,20.0,46.0,771.0,53.0,10310.0,10310.0,,,,400.0,800.0,57.0,14.3,60.0
288,Illinois College,IL,2,894.0,787.0,262.0,28.0,63.0,909.0,28.0,8050.0,8050.0,,,,600.0,1000.0,75.0,15.6,52.0
289,Illinois Institute of Technology,IL,2,1756.0,1360.0,478.0,42.0,77.0,1911.0,626.0,14550.0,14550.0,,,40.0,500.0,700.0,80.0,12.3,56.0
290,Illinois State University,IL,1,8681.0,6695.0,2408.0,10.0,35.0,15701.0,1823.0,2600.0,7799.0,3403.0,,815.0,537.0,2605.0,77.0,21.0,54.0
291,Northeastern Illinois University,IL,1,2086.0,1507.0,631.0,14.0,27.0,4056.0,3433.0,1902.0,5706.0,,,236.0,552.0,2178.0,78.0,15.1,21.0
292,Chicago State University,IL,1,3553.0,1719.0,777.0,12.0,37.0,4543.0,2694.0,1848.0,5544.0,,,350.0,650.0,2400.0,47.0,15.6,18.0
293,Illinois Wesleyan University,IL,2,3050.0,1342.0,471.0,55.0,86.0,1818.0,23.0,14360.0,14360.0,1760.0,2330.0,125.0,400.0,650.0,77.0,12.9,83.0
294,Judson College,IL,2,313.0,228.0,137.0,10.0,30.0,552.0,67.0,9414.0,9414.0,,,400.0,500.0,1700.0,34.0,10.6,56.0
295,Kendall College,IL,2,150.0,150.0,121.0,15.0,15.0,338.0,33.0,6900.0,6900.0,4851.0,,165.0,800.0,1500.0,24.0,15.9,80.0
296,Knox College,IL,2,1040.0,845.0,286.0,48.0,77.0,967.0,24.0,15747.0,15747.0,1806.0,2256.0,186.0,400.0,800.0,88.0,12.7,79.0
297,Lake Forest College,IL,2,979.0,638.0,271.0,31.0,70.0,968.0,20.0,16880.0,16880.0,1740.0,2230.0,230.0,920.0,1320.0,91.0,10.7,77.0
298,Lewis University,IL,2,1154.0,1050.0,395.0,12.0,31.0,2192.0,1423.0,10560.0,10560.0,2030.0,2490.0,,500.0,1200.0,36.0,14.3,61.0
299,Loyola University Chicago,IL,2,3579.0,2959.0,868.0,25.0,55.0,5244.0,3417.0,11500.0,11500.0,,,350.0,700.0,2000.0,94.0,6.2,65.0
300,MacMurray College,IL,2,740.0,558.0,177.0,12.0,29.0,628.0,63.0,9620.0,9620.0,2050.0,1700.0,,550.0,950.0,49.0,10.8,59.0
301,McKendree College,IL,2,1002.0,555.0,119.0,16.0,43.0,836.0,684.0,7680.0,7680.0,1820.0,1920.0,135.0,500.0,800.0,70.0,17.7,52.0
302,Millikin University,IL,2,1444.0,1261.0,456.0,29.0,62.0,1788.0,95.0,11910.0,11910.0,,,91.0,450.0,965.0,60.0,11.4,75.0
303,Monmouth College,IL,2,601.0,503.0,204.0,28.0,57.0,671.0,11.0,13000.0,13000.0,2100.0,2000.0,200.0,400.0,460.0,91.0,11.6,56.0
304,National-Louis University,IL,2,513.0,347.0,279.0,23.0,48.0,2508.0,505.0,9090.0,9090.0,4500.0,,,650.0,500.0,62.0,18.3,71.0
305,North Central College,IL,2,1127.0,884.0,308.0,30.0,64.0,1310.0,766.0,11718.0,11718.0,,,120.0,450.0,1800.0,73.0,16.4,76.0
306,North Park College,IL,2,465.0,361.0,176.0,19.0,39.0,879.0,156.0,12580.0,12580.0,2390.0,1955.0,,400.0,970.0,76.0,13.1,74.0
307,Northern Illinois University,IL,1,10706.0,7219.0,2397.0,12.0,37.0,14826.0,1979.0,2600.0,7799.0,3296.0,,950.0,470.0,1750.0,73.0,17.3,56.0
308,Northwestern University,IL,2,12289.0,5200.0,1902.0,85.0,98.0,7450.0,45.0,16404.0,16404.0,,,,759.0,1585.0,96.0,6.8,92.0
309,Olivet Nazarene University,IL,2,678.0,640.0,388.0,,58.0,1503.0,293.0,7700.0,7700.0,4140.0,,136.0,,,39.0,14.6,54.0
310,Principia College,IL,2,205.0,179.0,129.0,13.0,45.0,570.0,22.0,12816.0,12816.0,2634.0,2710.0,210.0,1125.0,2000.0,,9.6,90.0
311,Quincy University,IL,2,1025.0,707.0,297.0,22.0,66.0,1070.0,72.0,10100.0,10100.0,1750.0,2390.0,210.0,450.0,1080.0,69.0,16.3,80.0
312,Rockford College,IL,2,591.0,505.0,196.0,15.0,37.0,907.0,364.0,12305.0,12305.0,4066.0,,,800.0,1940.0,57.0,12.3,
313,Roosevelt University,IL,2,422.0,367.0,218.0,13.0,40.0,1700.0,2902.0,8580.0,8580.0,5100.0,,80.0,600.0,,75.0,12.2,77.0
314,Rosary College,IL,2,434.0,321.0,141.0,28.0,53.0,624.0,269.0,10950.0,10950.0,,,95.0,550.0,950.0,79.0,12.9,81.0
315,Southern Illinois University at Carbondale,IL,1,,,2158.0,,,16961.0,2499.0,2318.0,6953.0,1920.0,1336.0,864.0,600.0,2608.0,71.0,14.9,44.0
316,Southern Illinois University at Edwardsville,IL,1,2540.0,2195.0,994.0,13.0,40.0,6063.0,2550.0,1824.0,5472.0,1570.0,2028.0,488.0,221.0,2216.0,76.0,16.5,43.0
317,Illinois Benedictine College,IL,2,607.0,558.0,269.0,22.0,47.0,1222.0,519.0,10500.0,10500.0,,,150.0,650.0,1500.0,81.0,11.6,75.0
318,Saint Xavier University,IL,2,785.0,647.0,295.0,15.0,65.0,1670.0,726.0,10860.0,10860.0,2666.0,1958.0,110.0,600.0,794.0,87.0,13.7,55.0
319,Trinity College,IL,2,746.0,473.0,317.0,39.0,82.0,834.0,50.0,9600.0,9600.0,2030.0,2080.0,75.0,600.0,1300.0,54.0,21.9,28.0
320,University of Chicago,IL,2,6348.0,2999.0,922.0,68.0,94.0,3340.0,39.0,18930.0,18930.0,3070.0,3310.0,486.0,500.0,1254.0,99.0,5.3,90.0
321,University of Illinois - Urbana,IL,1,14939.0,11652.0,5705.0,52.0,88.0,25422.0,911.0,2760.0,7560.0,1780.0,2794.0,920.0,500.0,1982.0,87.0,17.4,81.0
322,University of Illinois at Chicago,IL,1,8384.0,5727.0,2710.0,22.0,50.0,13518.0,2916.0,2520.0,7230.0,3198.0,1890.0,1108.0,630.0,3228.0,82.0,10.0,34.0
323,Western Illinois University,IL,1,6491.0,5027.0,1563.0,6.0,24.0,9015.0,1449.0,1902.0,5706.0,1843.0,1350.0,705.0,600.0,1993.0,77.0,17.2,55.0
324,Wheaton College,IL,2,1432.0,920.0,548.0,56.0,84.0,2200.0,56.0,11480.0,11480.0,2440.0,1760.0,,530.0,1400.0,81.0,12.7,85.0
325,Anderson University,IN,2,1216.0,908.0,423.0,19.0,40.0,1819.0,281.0,10100.0,10100.0,1620.0,1900.0,200.0,550.0,1100.0,48.0,12.1,59.0
